title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님이 학생들에게 새로운 내용을 _____ 주셨다.,가르치다,선생님이 학생들에게 새로운 내용을 알려주는 것은 '가르치다'이므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님이 학생들에게 새로운 내용을 _____ 주셨다.,가르치다,학생들에게 새로운 내용을 전달하는 행위는 '가르치다'이므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님은 학생들에게 새로운 내용을 _____ 주셨다.,가르치다,학생들에게 새로운 내용을 알려주는 것은 '가르치다'의 의미이므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님이 학생들에게 학습 방법을 _____ 주셨다.,가르치다,학습 방법을 배우는 것은 '가르치다'의 의미에 해당하므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님은 학생들에게 새로운 내용을 _____ 주셨다.,가르쳤다,새로운 내용을 알려주는 것은 '가르치다'의 의미이므로 정답은 '가르쳤다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님은 학생들에게 _____ 방법을 가르쳤다.,새로운,학생들에게 '새로운 방법'을 가르치는 것이므로 정답은 '새로운'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님은 학생들에게 새로운 지식을 _____ 주셨다.,가르치다,선생님이 학생들에게 새로운 지식을 주는 것은 '가르치다'이므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님이 학생들에게 새로운 내용을 _____ 주셨다.,가르치다,학생들에게 새로운 내용을 전달하는 행위는 '가르치다'이므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님이 새로운 개념을 잘 _____ 주셔서 이해하기 쉬웠다.,가르치다,새로운 개념을 이해하기 쉽게 알려주는 것은 '가르치다'의 의미이므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
다음 문장에서 문맥상 빈칸에 들어갈 적절한 단어를 적으세요,선생님이 문제를 해결하는 방법을 _____ 주셨다.,가르치다,문제 해결 방법을 배우는 것은 '가르치다'의 의미에 해당하므로 정답은 '가르치다'입니다.,QT02,PL02,PT01,PT0121,{'options': '가르치다 vs 가리키다'},2024-09-24T17:46:14.098570,2024-09-24T17:46:14.098570
